"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01033","5","54","74","0","2024","1","N",95,0,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,0,"N",7,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01035","5","54","74","0","2024","1","N",14,0,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01037","5","54","74","0","2024","1","",9,26,23,24,422367,181295,2177,1335,"",0.40,0.26,0.23,0.24,0.19,0.19,0.34,0.79,"",0,0.0,5,23.8,4,21.1,8,50.0,119739,39.6,51930,40.1,1172,116.6,88,7.1
"01039","5","54","74","0","2024","1","",81,242,241,240,3199770,1607908,9756,1021,"",0.50,0.29,0.28,0.28,0.20,0.24,0.27,0.69,"N",2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01041","5","54","74","0","2024","1","N",14,0,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,0,"N",2,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","54","74","0","2024","1","N",169,0,0,0,0,0,0,0,"N",0.52,0,0,0,0,0,0,0,"N",19,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","1","54","74","0","2024","1","",4,23,22,24,393972,0,0,1318,"",30.52,2.79,2.64,2.88,2.37,0.00,0.00,0.86,"",0,0.0,-5,-17.9,-5,-18.5,-2,-7.7,-67521,-14.6,0,0.0,0,0.0,3,0.2
"01045","3","54","74","0","2024","1","N",1,0,0,0,0,0,0,0,"N",8.28,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","54","74","0","2024","1","N",107,0,0,0,0,0,0,0,"N",0.66,0,0,0,0,0,0,0,"N",11,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01047","1","54","74","0","2024","1","",1,18,17,17,493162,0,0,2189,"",8.86,3.56,3.29,3.30,6.28,0.00,0.00,1.86,"",0,0.0,0,0.0,-1,-5.6,-2,-10.5,6763,1.4,0,0.0,0,0.0,148,7.3
"01047","5","54","74","0","2024","1","",67,208,238,237,2666080,1474774,18888,901,"",0.48,0.27,0.30,0.30,0.17,0.23,0.41,0.59,"",2,3.1,42,25.3,56,30.8,50,26.7,984081,58.5,451988,44.2,5681,43.0,175,24.1
"01049","5","54","74","0","2024","1","",107,371,375,384,4541889,2560406,12911,928,"",0.51,0.23,0.23,0.24,0.14,0.17,0.22,0.58,"",8,8.1,-16,-4.1,-18,-4.6,-22,-5.4,-49409,-1.1,-69782,-2.7,-3703,-22.3,35,3.9
"01051","3","54","74","0","2024","1","N",2,0,0,0,0,0,0,0,"N",10.80,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","54","74","0","2024","1","",166,953,963,967,22202751,7583967,29032,1777,"",0.66,0.65,0.65,0.65,0.77,0.65,0.63,1.19,"",9,5.7,253,36.1,256,36.2,267,38.1,9421826,73.7,2342425,44.7,-3917,-11.9,377,26.9
"01053","3","54","74","0","2024","1","N",1,0,0,0,0,0,0,0,"N",9.99,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","5","54","74","0","2024","1","",65,266,261,263,2873713,1595194,12799,839,"",0.48,0.30,0.29,0.29,0.15,0.21,0.39,0.51,"",0,0.0,8,3.1,4,1.6,0,0.0,460302,19.1,159508,11.1,713,5.9,123,17.2
"01055","5","54","74","0","2024","1","",174,606,619,628,8125796,4287201,25580,1012,"",0.50,0.27,0.27,0.27,0.19,0.22,0.29,0.69,"",4,2.4,-48,-7.3,-43,-6.5,-42,-6.3,-329522,-3.9,-108573,-2.5,-2704,-9.6,30,3.1
"01057","5","54","74","0","2024","1","",25,71,88,116,1329127,616922,11395,1115,"",0.45,0.27,0.32,0.44,0.26,0.33,1.40,0.77,"",1,4.2,20,39.2,41,87.2,70,152.2,892428,204.4,383104,163.8,8822,342.9,415,59.3
"01059","5","54","74","0","2024","1","N",42,0,0,0,0,0,0,0,"N",0.43,0,0,0,0,0,0,0,"N",2,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01061","5","54","74","0","2024","1","N",37,0,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,0,"N",2,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01063","5","54","74","0","2024","1","",5,16,14,14,137590,84845,1339,722,"",0.20,0.13,0.11,0.11,0.07,0.10,0.23,0.55,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01065","1","54","74","0","2024","1","",1,4,4,4,88723,0,0,1706,"",26.20,3.36,3.36,3.36,4.73,0.00,0.00,1.41,"",0,0.0,-1,-20.0,-1,-20.0,-1,-20.0,-14419,-14.0,0,0.0,0,0.0,119,7.5
"01065","5","54","74","0","2024","1","",14,69,74,75,998946,548629,1722,1057,"",0.29,0.38,0.40,0.41,0.27,0.42,0.26,0.68,"",3,27.3,6,9.5,12,19.4,7,10.3,147863,17.4,9496,1.8,-2138,-55.4,39,3.8
"01067","5","54","74","0","2024","1","",35,287,277,281,4298378,2093790,9355,1174,"",0.57,1.04,1.00,1.00,0.75,0.95,1.22,0.74,"",1,2.9,13,4.7,-3,-1.1,16,6.0,269811,6.7,54312,2.7,1375,17.2,39,3.4
"01069","5","54","74","0","2024","1","",327,1356,1366,1391,22594582,9999068,57096,1268,"",0.62,0.38,0.38,0.39,0.29,0.34,0.49,0.75,"",17,5.5,-22,-1.6,-33,-2.4,-10,-0.7,1372981,6.5,104693,1.1,3748,7.0,96,8.2
"01071","5","54","74","0","2024","1","",78,240,232,230,3671134,1663894,19633,1207,"",0.45,0.22,0.21,0.21,0.17,0.17,0.38,0.78,"",0,0.0,35,17.1,21,10.0,15,7.0,762287,26.2,225952,15.7,3748,23.6,143,13.4
"01073","1","54","74","0","2024","1","",1,20,19,19,387182,0,0,1541,"",0.38,0.12,0.11,0.11,0.10,0.00,0.00,0.84,"",0,0.0,0,0.0,-1,-5.0,-1,-5.0,-16885,-4.2,0,0.0,0,0.0,-13,-0.8
"01073","3","54","74","0","2024","1","",5,4,7,8,128521,57453,515,1561,"",2.07,0.08,0.14,0.16,0.12,0.67,2.17,1.01,"N",2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01073","5","54","74","0","2024","1","",3216,20547,20673,20630,512752203,163596555,710617,1913,"",0.98,0.80,0.80,0.81,0.65,0.73,0.71,0.81,"",243,8.2,-378,-1.8,-531,-2.5,-541,-2.6,18280778,3.7,-1348312,-0.8,-144555,-16.9,110,6.1
"01075","5","54","74","0","2024","1","",19,44,43,41,484431,235159,1582,873,"",0.42,0.18,0.18,0.17,0.09,0.11,0.13,0.54,"",4,26.7,3,7.3,6,16.2,4,10.8,-47127,-8.9,27339,13.2,105,7.1,-194,-18.2
"01077","1","54","74","0","2024","1","",1,24,24,25,398771,0,0,1261,"",3.40,1.73,1.72,1.77,1.90,0.00,0.00,1.09,"",0,0.0,-3,-11.1,-2,-7.7,-1,-3.8,-5939,-1.5,0,0.0,0,0.0,79,6.7
"01077","3","54","74","0","2024","1","N",1,0,0,0,0,0,0,0,"N",3.69,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01077","5","54","74","0","2024","1","",250,886,906,892,12105468,6341620,40417,1041,"",0.68,0.42,0.42,0.41,0.29,0.38,0.48,0.70,"",11,4.6,-17,-1.9,-24,-2.6,-53,-5.6,159496,1.3,-107220,-1.7,-4445,-9.9,49,4.9
"01079","5","54","74","0","2024","1","N",37,0,0,0,0,0,0,0,"N",0.44,0,0,0,0,0,0,0,"N",1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","54","74","0","2024","1","",507,2009,2062,2084,31562402,14105105,80936,1183,"",0.82,0.44,0.44,0.45,0.31,0.43,0.46,0.71,"",60,13.4,153,8.2,194,10.4,211,11.3,3543223,12.6,1063373,8.2,-760,-0.9,28,2.4
"01083","3","54","74","0","2024","1","N",2,0,0,0,0,0,0,0,"N",9.43,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01083","5","54","74","0","2024","1","",224,824,846,840,15970931,6161410,36242,1468,"",0.78,0.36,0.35,0.35,0.27,0.29,0.28,0.75,"",36,19.1,-86,-9.5,-58,-6.4,-50,-5.6,1116217,7.5,-561084,-8.3,-6166,-14.5,200,15.8
"01085","1","54","74","0","2024","1","",1,10,10,10,174719,0,0,1344,"",39.90,8.11,8.14,8.23,6.40,0.00,0.00,0.78,"",0,0.0,1,11.1,1,11.1,1,11.1,39410,29.1,0,0.0,0,0.0,188,16.3
"01085","5","54","74","0","2024","1","",8,19,18,18,334815,136228,1490,1405,"",0.26,0.10,0.10,0.10,0.06,0.07,0.10,0.64,"",0,0.0,2,11.8,-1,-5.3,0,0.0,37556,12.6,6031,4.6,845,131.0,135,10.6
"01087","5","54","74","0","2024","1","N",16,0,0,0,0,0,0,0,"N",0.37,0,0,0,0,0,0,0,"N",3,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","1","54","74","0","2024","1","",7,956,948,944,20475240,0,0,1659,"",4.48,9.25,9.08,9.03,7.96,0.00,0.00,0.87,"",0,0.0,-15,-1.5,-14,-1.5,-12,-1.3,-2786637,-12.0,0,0.0,0,0.0,-199,-10.7
"01089","3","54","74","0","2024","1","",28,444,450,459,9469077,2423334,31606,1615,"",19.47,14.02,14.04,14.27,14.24,46.46,233.10,1.01,"",11,64.7,147,49.5,152,51.0,163,55.1,2340341,32.8,1113795,85.1,25027,380.4,-231,-12.5
"01089","5","54","74","0","2024","1","",2615,43462,44010,43973,1344109929,354750771,1090781,2360,"",1.35,2.75,2.75,2.75,2.65,2.61,1.90,0.96,"",240,10.1,130,0.3,489,1.1,392,0.9,76386387,6.0,1437442,0.4,-111162,-9.2,117,5.2
"01091","1","54","74","0","2024","1","",1,14,15,15,279746,0,0,1467,"",15.37,4.17,4.45,4.44,4.84,0.00,0.00,1.11,"",0,0.0,1,7.7,1,7.1,0,0.0,40458,16.9,0,0.0,0,0.0,152,11.6
"01091","5","54","74","0","2024","1","",22,82,82,82,858649,544442,3191,805,"",0.27,0.16,0.16,0.16,0.08,0.12,0.19,0.47,"",4,22.2,3,3.8,3,3.8,2,2.5,-58010,-6.3,40442,8.0,-581,-15.4,-84,-9.4
"01093","5","54","74","0","2024","1","",27,72,73,74,960009,498062,3500,1012,"",0.27,0.10,0.10,0.10,0.07,0.08,0.12,0.67,"",4,17.4,17,30.9,20,37.7,18,32.1,410595,74.7,131991,36.1,440,14.4,239,30.9
"01095","1","54","74","0","2024","1","",1,8,8,9,129610,0,0,1196,"",3.41,0.43,0.43,0.48,0.46,0.00,0.00,1.02,"",0,0.0,0,0.0,0,0.0,1,12.5,5603,4.5,0,0.0,0,0.0,4,0.3
"01095","5","54","74","0","2024","1","",203,669,692,674,11984593,4531892,31088,1359,"",0.56,0.24,0.24,0.24,0.21,0.18,0.32,0.90,"",18,9.7,16,2.5,26,3.9,22,3.4,1754707,17.2,285982,6.7,3512,12.7,161,13.4
"01097","1","54","74","0","2024","1","",3,643,649,651,15584790,0,0,1851,"",2.12,8.10,8.15,8.17,10.13,0.00,0.00,1.24,"",0,0.0,5,0.8,12,1.9,14,2.2,856754,5.8,0,0.0,0,0.0,73,4.1
"01097","3","54","74","0","2024","1","",4,5,5,5,120142,40000,680,1848,"",3.07,0.21,0.20,0.20,0.30,1.00,5.33,1.47,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","54","74","0","2024","1","",1298,8318,8302,8278,175621383,64216647,338587,1628,"",0.74,0.68,0.68,0.68,0.58,0.62,0.63,0.85,"",73,6.0,97,1.2,-104,-1.2,-73,-0.9,10713323,6.5,32005,0.0,-78380,-18.8,104,6.8
"01099","1","54","74","0","2024","1","",1,1,1,1,21506,0,0,1654,"",17.43,0.37,0.37,0.37,0.48,0.00,0.00,1.30,"",0,0.0,0,0.0,0,0.0,0,0.0,98,0.5,0,0.0,0,0.0,7,0.4
"01099","3","54","74","0","2024","1","N",1,0,0,0,0,0,0,0,"N",18.92,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01099","5","54","74","0","2024","1","N",20,0,0,0,0,0,0,0,"N",0.28,0,0,0,0,0,0,0,"N",1,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","1","54","74","0","2024","1","",3,11,11,10,165449,0,0,1193,"",3.62,0.18,0.18,0.16,0.14,0.00,0.00,0.81,"",0,0.0,-1,-8.3,-1,-8.3,-2,-16.7,-50195,-23.3,0,0.0,0,0.0,-189,-13.7
"01101","3","54","74","0","2024","1","N",10,0,0,0,0,0,0,0,"N",13.10,0,0,0,0,0,0,0,"N",5,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01101","5","54","74","0","2024","1","",944,6445,6523,6517,134123363,50376735,212186,1588,"",0.92,0.70,0.70,0.70,0.59,0.73,0.61,0.84,"",37,4.1,-171,-2.6,-213,-3.2,-162,-2.4,2353837,1.8,-706717,-1.4,-31760,-13.0,70,4.6
"01103","1","54","74","0","2024","1","",1,3,3,4,51198,0,0,1181,"",2.60,0.13,0.13,0.17,0.11,0.00,0.00,0.80,"",0,0.0,-1,-25.0,-1,-25.0,0,0.0,-14988,-22.6,0,0.0,0,0.0,-92,-7.2
"01103","5","54","74","0","2024","1","",286,1598,1598,1600,29472089,11882367,59056,1418,"",0.60,0.44,0.44,0.44,0.33,0.35,0.41,0.74,"",30,11.7,-179,-10.1,-150,-8.6,-135,-7.8,-4024120,-12.0,-1230539,-9.4,-14176,-19.4,-52,-3.5
"01105","5","54","74","0","2024","1","N",7,0,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,0,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01107","1","54","74","0","2024","1","",1,6,6,6,125572,0,0,1610,"",21.85,3.53,3.50,3.51,4.71,0.00,0.00,1.34,"",0,0.0,0,0.0,0,0.0,0,0.0,10894,9.5,0,0.0,0,0.0,140,9.5
"01107","5","54","74","0","2024","1","",15,51,49,45,380443,285804,3349,605,"",0.26,0.20,0.19,0.17,0.07,0.15,0.34,0.39,"",1,7.1,6,13.3,1,2.1,-3,-6.2,15103,4.1,4085,1.5,-111,-3.2,7,1.2
"01109","5","54","74","0","2024","1","",59,777,779,783,16437443,4924754,18983,1622,"",0.50,0.73,0.73,0.74,0.72,0.57,0.47,0.99,"",5,9.3,-13,-1.6,-9,-1.1,-9,-1.1,2671919,19.4,399583,8.8,-2876,-13.2,282,21.0
"01111","5","54","74","0","2024","1","",33,69,77,79,868853,456481,5376,891,"",0.49,0.20,0.22,0.23,0.14,0.17,0.35,0.63,"N",7,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01113","3","54","74","0","2024","1","N",1,0,0,0,0,0,0,0,"N",7.92,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01113","5","54","74","0","2024","1","N",93,0,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,0,"N",3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01115","5","54","74","0","2024","1","",168,620,666,652,10088753,4391398,35632,1201,"",0.62,0.41,0.44,0.43,0.31,0.33,0.52,0.73,"",20,13.5,48,8.4,56,9.2,39,6.4,1685392,20.1,595933,15.7,-4589,-11.4,121,11.2
"01117","1","54","74","0","2024","1","",1,25,25,25,739483,0,0,2275,"",1.21,0.65,0.64,0.64,0.84,0.00,0.00,1.31,"",0,0.0,0,0.0,0,0.0,0,0.0,54347,7.9,0,0.0,0,0.0,167,7.9
"01117","3","54","74","0","2024","1","N",1,0,0,0,0,0,0,0,"N",1.31,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01117","5","54","74","0","2024","1","",997,6586,6646,6529,141785369,50399977,337381,1656,"",0.97,1.11,1.11,1.10,0.82,0.87,1.28,0.74,"",57,6.1,223,3.5,205,3.2,121,1.9,11929825,9.2,1569224,3.2,-26647,-7.3,96,6.2
"01119","1","54","74","0","2024","1","",1,5,5,5,102418,0,0,1576,"",28.15,3.81,3.82,3.68,5.18,0.00,0.00,1.37,"",0,0.0,0,0.0,0,0.0,0,0.0,2988,3.0,0,0.0,0,0.0,46,3.0
"01119","5","54","74","0","2024","1","N",13,0,0,0,0,0,0,0,"N",0.29,0,0,0,0,0,0,0,"N",1,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01121","5","54","74","0","2024","1","",97,485,490,488,7953609,3612585,21022,1255,"",0.43,0.22,0.22,0.22,0.16,0.18,0.28,0.73,"",7,7.8,47,10.7,44,9.9,6,1.2,917767,13.0,21259,0.6,-10862,-34.1,66,5.6
"01123","5","54","74","0","2024","1","",101,298,300,303,4819165,2254677,13000,1234,"",0.67,0.33,0.33,0.34,0.28,0.29,0.29,0.83,"",3,3.1,10,3.5,6,2.0,7,2.4,842351,21.2,174277,8.4,1152,9.7,189,18.1
"01125","1","54","74","0","2024","1","",2,45,44,44,979990,0,0,1700,"",3.22,1.01,0.97,0.98,1.12,0.00,0.00,1.13,"",0,0.0,-8,-15.1,-9,-17.0,-8,-15.4,24223,2.5,0,0.0,0,0.0,304,21.8
"01125","5","54","74","0","2024","1","",508,3251,3242,3226,59278506,24067696,122407,1408,"",0.66,0.48,0.47,0.47,0.34,0.45,0.53,0.73,"",37,7.9,-17,-0.5,-24,-0.7,-10,-0.3,2713702,4.8,326833,1.4,-31566,-20.5,72,5.4
"01127","5","54","74","0","2024","1","N",105,0,0,0,0,0,0,0,"N",0.47,0,0,0,0,0,0,0,"N",5,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01129","3","54","74","0","2024","1","N",1,0,0,0,0,0,0,0,"N",29.42,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01129","5","54","74","0","2024","1","N",19,0,0,0,0,0,0,0,"N",0.41,0,0,0,0,0,0,0,"N",2,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01131","1","54","74","0","2024","1","",1,12,12,12,272673,0,0,1748,"",27.35,10.00,10.04,10.06,13.26,0.00,0.00,1.32,"",0,0.0,0,0.0,0,0.0,0,0.0,3312,1.2,0,0.0,0,0.0,21,1.2
"01131","5","54","74","0","2024","1","",9,27,25,28,403747,166524,409,1165,"",0.20,0.15,0.14,0.15,0.10,0.11,0.08,0.68,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01133","5","54","74","0","2024","1","",37,107,110,116,1484991,689128,4491,1029,"",0.49,0.20,0.20,0.21,0.13,0.14,0.19,0.64,"",3,8.8,9,9.2,6,5.8,12,11.5,363802,32.4,97281,16.4,906,25.3,183,21.6
"01999","1","54","74","0","2024","1","",2,28,28,28,719974,0,0,1978,"",0.83,0.74,0.74,0.74,0.63,0.00,0.00,0.85,"",1,100.0,10,55.6,8,40.0,7,33.3,230931,47.2,0,0.0,0,0.0,65,3.4
"01999","3","54","74","0","2024","1","",22,29,33,36,1147393,282717,4034,2702,"",9.92,2.51,2.83,3.09,3.88,10.33,35.44,1.38,"N",14,175.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","54","74","0","2024","1","",5069,14199,14331,14195,361936144,114338884,843217,1955,"",1.69,2.46,2.46,2.45,1.60,1.61,1.75,0.65,"",332,7.0,1266,9.8,1189,9.0,1317,10.2,31973571,9.7,7762617,7.3,-248911,-22.8,0,0.0
